,ipRange,ipHop,timeSubmitSec,inList,appHour,label,browserType,inCustType,packageType,weekDayType
0,14929.250426390347,4.0,3.055702210247263,3.0,18.770152130131645,1,opera,N,H,Fri
1,17281.272913219924,2.0,4.173637961804285,2.0,22.32499962935304,1,vivaldi,N,L,Sun
2,11746.517952843868,4.0,5.4013670733681565,3.0,21.734730077976085,1,vivaldi,Y,K,Fri
3,14808.176184287935,0.0,17.451330206394065,0.0,8.971637419342985,0,others,Y,D,Sun
4,6256.626846258106,0.0,21.036027444810767,0.0,9.984302296833011,0,safari,Y,M,Sat
5,14297.297497819183,4.0,2.7152723748544307,3.0,20.904820208694634,1,opera,N,K,Sat
6,3493.3514912074766,1.0,22.447280285001675,0.0,9.939893207839024,0,opera,N,A,Fri
7,15345.866565981656,1.0,22.49397758482197,0.0,9.930326188755195,0,chrome,Y,G,Sun
8,16613.97774870721,0.0,19.802984402976104,0.0,16.427759815515632,1,vivaldi,Y,T,Sat
9,3389.8371665268096,0.0,17.74223849088427,0.0,9.853793015351807,0,edge,N,D,Sun
10,20152.455976296325,5.0,2.2798967655077007,2.0,20.691355015773418,1,opera,N,K,Fri
11,15781.385767760221,1.0,2.9679118162746425,3.0,18.331913364652966,1,opera,N,G,Fri
12,15124.761300838694,0.0,16.567406607338423,0.0,11.907782038616464,0,chrome,Y,J,Sun
13,11787.799480673362,2.0,4.186706708780061,3.0,2.559834353447745,1,firefox,N,N,Sun
14,18134.8204347599,4.0,4.197493231361403,2.0,21.173088874649235,1,firefox,N,K,Sun
15,6357.093136616162,0.0,15.865708440586223,0.0,13.70996166545559,0,edge,Y,D,Sat
16,20852.037674623123,2.0,1.2592326706924273,3.0,22.19392008320591,1,opera,Y,N,Sun
17,18992.356611530362,0.0,18.75223413364316,5.0,11.002155359568208,0,edge,N,A,Sat
18,6009.721456602508,0.0,20.839031287033677,4.0,7.470111268390345,0,safari,Y,D,Sun
19,15025.488547546593,2.0,5.980683287161522,3.0,2.0807975690912768,1,vivaldi,N,N,Fri
